Epoch: 140, Loss: 0.21, Accuracy: 0.93, Time: 48.82s
Epoch: 141, Loss: 0.24, Accuracy: 0.92, Time: 45.02s
Epoch: 142, Loss: 0.25, Accuracy: 0.91, Time: 45.94s
Epoch: 143, Loss: 0.23, Accuracy: 0.93, Time: 46.17s
Epoch: 144, Loss: 0.24, Accuracy: 0.92, Time: 42.93s
Epoch: 145, Loss: 0.20, Accuracy: 0.93, Time: 44.02s
Epoch: 146, Loss: 0.21, Accuracy: 0.93, Time: 42.88s
Epoch: 147, Loss: 0.21, Accuracy: 0.93, Time: 44.69s
Epoch: 148, Loss: 0.23, Accuracy: 0.92, Time: 41.59s
Epoch: 149, Loss: 0.22, Accuracy: 0.93, Time: 41.76s
Epoch: 150, Loss: 0.20, Accuracy: 0.93, Time: 39.39s
Epoch: 151, Loss: 0.20, Accuracy: 0.93, Time: 45.35s
Epoch: 152, Loss: 0.20, Accuracy: 0.93, Time: 39.95s
Epoch: 153, Loss: 0.22, Accuracy: 0.93, Time: 38.36s
Epoch: 154, Loss: 0.21, Accuracy: 0.93, Time: 38.12s
Epoch: 155, Loss: 0.23, Accuracy: 0.93, Time: 38.53s
Epoch: 156, Loss: 0.20, Accuracy: 0.94, Time: 41.25s
Epoch: 157, Loss: 0.21, Accuracy: 0.94, Time: 46.39s
Epoch: 158, Loss: 0.23, Accuracy: 0.92, Time: 41.16s
Epoch: 159, Loss: 0.22, Accuracy: 0.93, Time: 44.37s
Epoch: 160, Loss: 0.20, Accuracy: 0.94, Time: 42.23s
Epoch: 161, Loss: 0.21, Accuracy: 0.93, Time: 42.79s
Epoch: 162, Loss: 0.18, Accuracy: 0.94, Time: 41.63s
Epoch: 163, Loss: 0.20, Accuracy: 0.93, Time: 41.47s
Epoch: 164, Loss: 0.17, Accuracy: 0.94, Time: 42.29s
Epoch: 165, Loss: 0.21, Accuracy: 0.93, Time: 42.97s
Epoch: 166, Loss: 0.20, Accuracy: 0.93, Time: 40.47s
Epoch: 167, Loss: 0.21, Accuracy: 0.93, Time: 42.21s
Epoch: 168, Loss: 0.20, Accuracy: 0.94, Time: 44.37s
Epoch: 169, Loss: 0.20, Accuracy: 0.94, Time: 45.13s
Epoch: 170, Loss: 0.20, Accuracy: 0.93, Time: 46.39s
Epoch: 171, Loss: 0.18, Accuracy: 0.94, Time: 44.07s
Epoch: 172, Loss: 0.20, Accuracy: 0.94, Time: 45.17s
Epoch: 173, Loss: 0.20, Accuracy: 0.94, Time: 44.37s
Epoch: 174, Loss: 0.20, Accuracy: 0.93, Time: 48.09s
Epoch: 175, Loss: 0.24, Accuracy: 0.92, Time: 46.71s
Epoch: 176, Loss: 0.20, Accuracy: 0.94, Time: 40.03s
Epoch: 177, Loss: 0.20, Accuracy: 0.93, Time: 42.46s
Epoch: 178, Loss: 0.21, Accuracy: 0.93, Time: 45.08s
Epoch: 179, Loss: 0.21, Accuracy: 0.93, Time: 42.55s
Epoch: 180, Loss: 0.20, Accuracy: 0.93, Time: 43.81s
Epoch: 181, Loss: 0.20, Accuracy: 0.93, Time: 43.16s
Epoch: 182, Loss: 0.20, Accuracy: 0.93, Time: 39.97s
Epoch: 183, Loss: 0.18, Accuracy: 0.94, Time: 41.87s
Epoch: 184, Loss: 0.20, Accuracy: 0.94, Time: 40.03s
Epoch: 185, Loss: 0.18, Accuracy: 0.94, Time: 41.42s
Epoch: 186, Loss: 0.18, Accuracy: 0.94, Time: 40.49s
Epoch: 187, Loss: 0.22, Accuracy: 0.93, Time: 39.02s
Epoch: 188, Loss: 0.25, Accuracy: 0.92, Time: 39.90s
Epoch: 189, Loss: 0.19, Accuracy: 0.93, Time: 39.68s
Epoch: 190, Loss: 0.20, Accuracy: 0.94, Time: 39.52s
Epoch: 191, Loss: 0.23, Accuracy: 0.92, Time: 40.68s
Epoch: 192, Loss: 0.22, Accuracy: 0.93, Time: 38.68s
Epoch: 193, Loss: 0.17, Accuracy: 0.94, Time: 40.60s
Epoch: 194, Loss: 0.18, Accuracy: 0.94, Time: 40.39s
Epoch: 195, Loss: 0.18, Accuracy: 0.94, Time: 43.23s
Epoch: 196, Loss: 0.20, Accuracy: 0.94, Time: 38.97s
Epoch: 197, Loss: 0.17, Accuracy: 0.94, Time: 38.77s
Epoch: 198, Loss: 0.16, Accuracy: 0.94, Time: 37.30s
Epoch: 199, Loss: 0.17, Accuracy: 0.94, Time: 37.84s
Epoch: 200, Loss: 0.21, Accuracy: 0.93, Time: 41.27s
Epoch: 201, Loss: 0.17, Accuracy: 0.94, Time: 41.28s
Epoch: 202, Loss: 0.20, Accuracy: 0.94, Time: 41.23s
Epoch: 203, Loss: 0.20, Accuracy: 0.93, Time: 41.24s
Epoch: 204, Loss: 0.22, Accuracy: 0.93, Time: 41.45s
Epoch: 205, Loss: 0.24, Accuracy: 0.92, Time: 41.64s
Epoch: 206, Loss: 0.22, Accuracy: 0.93, Time: 41.41s
Epoch: 207, Loss: 0.19, Accuracy: 0.94, Time: 41.38s
Epoch: 208, Loss: 0.18, Accuracy: 0.94, Time: 41.38s
Epoch: 209, Loss: 0.17, Accuracy: 0.95, Time: 41.45s
Epoch: 210, Loss: 0.18, Accuracy: 0.94, Time: 41.45s
Epoch: 211, Loss: 0.16, Accuracy: 0.94, Time: 41.29s
Epoch: 212, Loss: 0.18, Accuracy: 0.94, Time: 41.52s
Epoch: 213, Loss: 0.15, Accuracy: 0.94, Time: 41.33s
Epoch: 214, Loss: 0.19, Accuracy: 0.94, Time: 41.29s
Epoch: 215, Loss: 0.17, Accuracy: 0.94, Time: 41.56s
Epoch: 216, Loss: 0.17, Accuracy: 0.94, Time: 41.35s
Epoch: 217, Loss: 0.20, Accuracy: 0.93, Time: 41.49s
Epoch: 218, Loss: 0.20, Accuracy: 0.93, Time: 41.35s
Epoch: 219, Loss: 0.17, Accuracy: 0.94, Time: 41.49s
Epoch: 220, Loss: 0.18, Accuracy: 0.94, Time: 41.46s
Epoch: 221, Loss: 0.19, Accuracy: 0.94, Time: 41.35s
Epoch: 222, Loss: 0.19, Accuracy: 0.94, Time: 41.25s
Epoch: 223, Loss: 0.15, Accuracy: 0.95, Time: 41.31s
Epoch: 224, Loss: 0.18, Accuracy: 0.94, Time: 41.29s
Epoch: 225, Loss: 0.18, Accuracy: 0.94, Time: 41.35s
Epoch: 226, Loss: 0.20, Accuracy: 0.93, Time: 41.29s
Epoch: 227, Loss: 0.17, Accuracy: 0.94, Time: 41.36s
